start_stn,r_weekday.1,r_weekday.2,r_weekday.3,r_weekday.4,r_weekday.5,r_weekday.6,r_weekday.7
164,0.146661156,0.154277617,0.149672315,0.147133495,0.158764834,0.120210191,0.123280392
165,0.138595582,0.145365032,0.143227311,0.144555289,0.149996761,0.145883267,0.132376757
166,0.140368897,0.153940295,0.144652301,0.141701997,0.149897286,0.139604004,0.12983522
167,0.144940018,0.155459859,0.150538296,0.145985851,0.151461089,0.13294371,0.118671178
168,0.150224215,0.150224215,0.148604883,0.145366218,0.141629297,0.140383657,0.123567514
169,0.15276685,0.154209284,0.14489903,0.145882507,0.155127196,0.1315893,0.115525833
170,0.139700523,0.148081892,0.143808388,0.14281455,0.146292984,0.1461936,0.133108063
171,0.157549365,0.168764541,0.152359363,0.162858677,0.168108334,0.101473483,0.088886238
172,0.142633512,0.143476428,0.146607261,0.144740803,0.142994762,0.147992053,0.131555181
173,0.162350752,0.173321445,0.157078617,0.16083889,0.162118158,0.099046364,0.085245775
174,0.169936709,0.162025316,0.125632911,0.150316456,0.13164557,0.120253165,0.140189873
175,0.148678151,0.154255417,0.144275047,0.141633185,0.14170657,0.137817161,0.131634469
176,0.149360302,0.158547581,0.147898136,0.147581333,0.145558669,0.129011819,0.122042159
177,0.135599694,0.1473644,0.136516425,0.147058824,0.143850267,0.152864782,0.136745607
178,0.140638607,0.154571843,0.145428157,0.140977262,0.152491534,0.143928399,0.121964199
179,0.15312323,0.159405737,0.152144807,0.154925588,0.155569288,0.123976518,0.100854833
180,0.154589559,0.158276732,0.14880652,0.153153503,0.154317873,0.127809043,0.103046769
181,0.11628425,0.116507017,0.118846068,0.120294052,0.125640454,0.20717309,0.195255068
182,0.128169682,0.127158685,0.124476448,0.12394,0.127509439,0.185363237,0.183382508
183,0.141137979,0.152043925,0.146603487,0.144760759,0.149649631,0.141351084,0.124453136
184,0.135890077,0.147506158,0.146579584,0.144432643,0.147054171,0.148206739,0.130330629
185,0.143209268,0.146933969,0.142223318,0.137868704,0.143976118,0.148139019,0.137649604
186,0.100641324,0.091625616,0.094042197,0.08277721,0.099433033,0.248127149,0.283353472
188,0.147780062,0.14888432,0.14115452,0.140012185,0.139364862,0.150331277,0.132472774
191,0.141423213,0.154577632,0.145966506,0.14105341,0.146494796,0.140208146,0.130276296
192,0.145859905,0.148002653,0.147900617,0.146574154,0.151012703,0.137033825,0.123616142
194,0.143898125,0.152246197,0.14594977,0.147411862,0.15238769,0.136257517,0.121848839
195,0.144197343,0.148959474,0.144006857,0.1411972,0.150673842,0.142721082,0.128244202
196,0.136583012,0.150579151,0.138168781,0.138099835,0.14409818,0.148510756,0.143960287
198,0.149959828,0.159506593,0.142445295,0.149770783,0.15548939,0.133371142,0.109456969
199,0.126317235,0.127278344,0.128994611,0.122953352,0.135276147,0.203823842,0.155356469
200,0.179722372,0.182027763,0.181488203,0.171481827,0.18016383,0.048413204,0.056702801
201,0.151550143,0.146212336,0.141005251,0.147149175,0.149284298,0.123139938,0.14165886
202,0.148112675,0.144465729,0.137294629,0.139197917,0.158537783,0.133782755,0.138608512
203,0.170355061,0.174929754,0.15958015,0.167313007,0.175324525,0.079395305,0.073102199
204,0.16163575,0.168128162,0.155874087,0.160680157,0.157026419,0.101658235,0.094997189
205,0.142817738,0.138319542,0.132484617,0.129980904,0.140823255,0.147337153,0.168236792
206,0.159001539,0.157975722,0.14642579,0.149465246,0.154328375,0.110028305,0.122775023
207,0.13519557,0.124642983,0.124301952,0.119384129,0.139001166,0.180758097,0.176716103
208,0.125,0.25,0.28125,0,0,0.03125,0.3125
209,0.162884716,0.156129369,0.149008868,0.151225874,0.163067293,0.113302034,0.104381847
210,0.142219036,0.14255816,0.13819799,0.135048979,0.144718866,0.147780674,0.149476295
211,0.159198143,0.159942472,0.148865844,0.150518507,0.15881967,0.120846264,0.101809098
212,0.152314671,0.160014538,0.153633879,0.157443429,0.164241388,0.115861456,0.096490638
213,0.162343936,0.171665119,0.162419718,0.163518557,0.165450997,0.090900479,0.083701192
214,0.163135942,0.169776631,0.166483728,0.157510565,0.169996158,0.093161736,0.07993524
215,0.131237829,0.122991723,0.115506329,0.111337634,0.131694255,0.206213486,0.181018744
216,0.151762212,0.156910247,0.144144984,0.145775583,0.152926926,0.127210044,0.121270004
217,0.174631635,0.179596809,0.166149461,0.174079949,0.178562398,0.068799853,0.058179896
218,0.171252715,0.170528602,0.157615255,0.163770215,0.166666667,0.093812857,0.076353689
219,0.16640702,0.172574953,0.158108924,0.158713,0.167678759,0.100276603,0.07624074
220,0.155160687,0.152326702,0.147282208,0.147678966,0.152496741,0.139148671,0.105906025
221,0.143305481,0.139247591,0.131391676,0.131931396,0.144284972,0.1565386,0.153300284
222,0.159768844,0.158979017,0.153147461,0.154529658,0.161717084,0.11164205,0.100215886
223,0.157159952,0.155414838,0.147786199,0.151126845,0.155988233,0.122781213,0.10974272
224,0.15672613,0.158768294,0.152181312,0.153522734,0.156465854,0.120928184,0.101407492
225,0.161949143,0.162121735,0.153003107,0.156570015,0.155735819,0.11592452,0.094695662
226,0.153367235,0.156955468,0.15438905,0.156812889,0.161826909,0.1175562,0.099092248
227,0.136765763,0.124605333,0.130951264,0.115696021,0.125355591,0.186470349,0.180155679
228,0.142975249,0.144973217,0.133088755,0.135103946,0.140942834,0.153051207,0.149864793
229,0.155599367,0.159154046,0.15258237,0.155390268,0.162230785,0.109985961,0.105057203
230,0.15247089,0.156897929,0.150755085,0.150925356,0.152719747,0.126864792,0.1093662
231,0.158470494,0.160377358,0.155158571,0.154957848,0.157115616,0.115515857,0.098404255
232,0.153685818,0.156804404,0.147957804,0.150105809,0.151044567,0.125300323,0.115101274
233,0.159649582,0.149320084,0.146574268,0.136506276,0.146835774,0.132845188,0.128268828
234,0.14633355,0.167878001,0.149902661,0.156391953,0.146528228,0.129526282,0.103439325
235,0.146453674,0.148115016,0.146517572,0.140958466,0.1485623,0.140958466,0.128434505
236,0.142802503,0.147461752,0.141515994,0.144888734,0.155146036,0.140438108,0.127746871
237,0.139371888,0.155495979,0.147912677,0.142435848,0.145040214,0.136882421,0.132860973
238,0.171497637,0.173807006,0.159605465,0.164547946,0.162173829,0.094468306,0.073899812
239,0.155004215,0.15912923,0.149735036,0.156660243,0.162320848,0.115199326,0.101951102
240,0.156753363,0.149846652,0.145837861,0.143833466,0.156801661,0.141080441,0.105846555
241,0.128707539,0.154349627,0.149047225,0.141714996,0.1493372,0.145774648,0.131068766
242,0.140195737,0.150578767,0.152218193,0.145511451,0.147051518,0.14104029,0.123404044
243,0.153685155,0.156824637,0.142323217,0.145701899,0.153715055,0.146120496,0.101629541
244,0.140330189,0.143678403,0.140224899,0.141277796,0.148921833,0.147679414,0.137887466
245,0.157519879,0.164081175,0.147421825,0.150275623,0.155007561,0.122444997,0.103248939
247,0.149616742,0.14419683,0.136124397,0.135027883,0.144186387,0.148447127,0.142400635
248,0.123790785,0.11114527,0.107476636,0.102557796,0.164145762,0.200155763,0.190727988
249,0.123629166,0.122479003,0.116407211,0.10118761,0.132830471,0.212860429,0.190606109
250,0.14271876,0.153309655,0.146851792,0.144656119,0.155828221,0.138391992,0.118243461
251,0.142764665,0.149138532,0.148690369,0.14366099,0.14784384,0.135295289,0.132606314
252,0.144888264,0.148768901,0.144219189,0.14378429,0.150809581,0.13836478,0.129164994
253,0.140647142,0.152259487,0.14580381,0.144937805,0.151944576,0.14214297,0.12226421
254,0.140828402,0.154099746,0.147168216,0.137869822,0.148098056,0.138292477,0.13364328
255,0.145712757,0.148290453,0.136520597,0.14050873,0.141919167,0.15222995,0.134818345
256,0.142849813,0.145210119,0.147108625,0.139514598,0.147159936,0.150341218,0.127815691
257,0.144470352,0.150093723,0.139921364,0.136378183,0.146116216,0.145956202,0.13706396
258,0.140373234,0.150850961,0.146206779,0.145951916,0.150652734,0.141166143,0.124798233
259,0.153010886,0.167525108,0.152983705,0.154179634,0.15795768,0.116480709,0.097862278
260,0.144518272,0.132997535,0.127156789,0.118422463,0.126406602,0.175115207,0.175383131
262,0.15722959,0.158995005,0.149048398,0.148079573,0.153332759,0.122567172,0.110747503
263,0.150714595,0.157692123,0.150570232,0.155671046,0.158967326,0.118257062,0.108127617
