"","x"
"1008",4
"1009",4
"1010",4
"1011",4
"1012",1
"1013",4
"1014",1
"1015",1
"1016",1
"1017",4
"1018",1
"1019",4
"1020",4
"1021",1
"1022",4
"1023",1
"1024",1
"1025",1
"1026",1
"1027",1
"1028",1
"1029",4
"1030",1
"1031",1
"1032",1
"1033",1
"1034",1
"1035",4
"1036",1
"1037",1
"1038",1
"1039",1
"1040",1
"1041",1
"1042",1
"1044",4
"1047",1
"1048",1
"1049",1
"1050",4
"1051",1
"1052",1
"1053",1
"1054",1
"1056",1
"1057",1
"1058",1
"1059",1
"1060",1
"1061",1
"1062",1
"1101",1
"1102",1
"1103",1
"1105",1
"1106",1
"1108",1
"1109",1
"1110",1
"1111",1
"1112",4
"1113",1
"1114",1
"1115",1
"1117",4
"1118",4
"1119",4
"1120",4
"1121",4
"1122",4
"1123",1
"1124",4
"1125",4
"1126",4
"1127",1
"1128",1
"1129",1
"1130",1
"1131",4
"1132",1
"1135",1
"1136",1
"1137",1
"1139",1
"1140",1
"1141",1
"1145",1
"1146",1
"1148",1
"1149",4
"1150",4
"1151",1
"1152",1
"1153",2
"1155",1
"1157",4
"1158",2
"1159",1
"1160",2
"1161",1
"1162",1
"1163",1
"1165",1
"1166",4
"1167",4
"1168",1
"1169",1
"1170",1
"1171",1
"1172",1
"1173",4
"1174",1
"1175",1
"1177",1
"1178",1
"1180",1
"1181",1
"1182",1
"1183",1
"1184",1
"1185",1
"1186",1
"1187",1
"1188",1
"1190",1
"1191",1
"1192",1
"1193",1
"1194",1
"1195",1
"1196",1
"1197",1
"1198",1
"1199",1
"1200",1
"1201",4
"1203",4
"1204",1
"1205",1
"1206",4
"1207",1
"1208",4
"1209",2
"1210",2
"1211",2
"1212",4
"1213",1
"1214",1
"1215",4
"1217",1
"1218",4
"1220",4
"1221",4
"1222",2
"1224",4
"1226",4
"1227",1
"1228",1
"1229",1
"1230",1
"1231",4
"1232",4
"1233",1
"1234",1
"1235",4
"1239",1
"1240",1
"1241",1
"1242",1
"1243",4
"1244",4
"1245",4
"1246",1
"1247",1
"1248",4
"1249",1
"1250",1
"1251",4
"1253",1
"1256",1
"1257",1
"1258",1
"1259",4
"1260",1
"1261",1
"1262",4
"1263",1
"1264",4
"1265",4
"1266",1
"1267",1
"1268",2
"1269",1
"1271",1
"1274",1
"1275",1
"1277",1
"1278",4
"1279",1
"1280",1
"1282",1
"1283",1
"1285",1
"1286",1
"1287",1
"1288",4
"1289",1
"1290",1
"1291",1
"1293",4
"1295",4
"1296",1
"1297",1
"1299",1
